objectid,image_thumb,image_small,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll011,,,metuchenmultiple.jpg,,,"Detail of Gravestone of Eunice Freeman (1791), Old Colonial Cemetery of Metuchen",Jonathan Hand Osborn,,"Detail of top. Example of Tulip motif and clover border on Gravestone of Eunice Freeman (1791), daughter of Captain Matthew Freeman and Margret Freeman. Aged 19 years. Carved (and signed) by Jonathan Hand Osborn of Scotch Plains, NJ. Osborn and his brother Henry were important cervers who worked in the style of Ebenezer Price (Veit and Nonestied 51). The stone includes poem at the bottom: ""A pale consumption gave the fatal blow / The stroke was certain but the effect was slow / With wasting pains death found me long oppressed / Pitty'd my sighs and finally gave me rest."" Old Colonial Cemetery of Metuchen
Metuchen, Middlesex County, New Jersey, USA",,,,,,metuchenmultiple,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,,,metuchenheader.jpg,,,View of Old Colonial Cemetery of Metuchen,Anonymous,2024-10-13,View of Gravestone in Old Colonial Cemetery of Metuchen,Old Colonial Cemetery of Metuchen;,"Metuchen, NJ",40.54003,-74.36105,"Laura Leibman, photographer, 2024",metuchenheader,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,,,gravespiscataway.jpg,,,"View of the Piscatawaytown Burial Ground, aka Saint James Episcopal Church Cemetery",,2024-09-01,"View of the Piscatawaytown Burial Ground, aka Saint James Episcopal Church Cemetery; Saint James Episcopal Church Cemetery ",Piscatawaytown Burial Ground; ,"Edison, NJ",40.50073,-74.39615,"Laura Leibman, photographer, 2024",gravespiscataway,Image;Stillimage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll014,,,gravespisctawayheader.jpg,,,Piscataway Burial Ground,,,"View of the Piscatawaytown Burial Ground, aka Saint James Episcopal Church Cemetery; Saint James Episcopal Church Cemetery ",,"Edison, NJ",40.50073,-74.39615,"Laura Leibman, photographer, 2024",gravespisctawayheader.jpg,Image;Stillimage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll015,,,ambrosesteel.jpg,,,"Gravestone of Ambrose Stelle (1760), Piscatawaytown Burial Ground, Edison, Middlesex County, New Jersey, USA",William Stevens,1760-02-28,"Example of wigged cherub on the black slate gravestone of Ambrose Stelle (1760), Piscatawaytown Burial Ground. Carved by Newport Carver William Stevens. A member of the Stelle family moved to Newport (RI) and perhaps as a result many New Jersey stones of the Stelle family were made by Newport carvers. Ambrose was the son of Reverend Isaac Stelle and his wife Christian. Ambrose died at the age of 16. The family were originally Hugenot immigrants.",Piscatawaytown Burial Ground; wigged cherub; cherub; Stelle Family; Ambrose Stelle; Stevens Shop; Reverend Isaac Stelle; Christian Stelle; teen death; child; son; slate; William Stevens; male,"Edison, NJ",40.50073,-74.39615,"Laura Leibman, photographer, 2024",ambrosesteel,Image;Stillimage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll016,,,chartersignsaintjamesepiscopalchurch.jpg,,,Sign for the St. James Episcopal Anglican Church (1704),Anonymous,,"Sign for the St. James Episcopal Anglican Church (1704). According to HMdb.org ""St. James Episcopal Church was established in 1704. The original structure was built in 1724. In 1835 the church was destroyed by a tornado. It was rebuilt using as much of the original wood and fixtures as possible. The rear section was built in 1913."" Piscatawaytown Burial ground predates this church.",Piscatawaytown Burial Ground; St. James Episcopal Anglican Church; sign; Anglican; Episcopal,"Edison, NJ",40.50073,-74.39615,"Laura Leibman, photographer, 2024",chartersignsaintjamesepiscopalchurch,Image;Stillimage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll017,,,closeuplampiscataway.jpg,,,"Ninteenth century child's gravestone with lamb on top, Piscatawaytown Burial Ground, Edison, Middlesex County, New Jersey, USA",Anonymous,,"Gravestone of William Ryno, Piscatawaytown Burial Ground, Edison, Middlesex County, New Jersey, USA. Lambs were a common symbol on the top of children's gravestones.",Piscatawaytown Burial Ground; St. James Episcopal Anglican Church; Anglican; Episcopalian; marble; lamb; child; child death; Ryno Family; William Ryno; male,"Edison, NJ",40.50073,-74.39615,"Laura Leibman, photographer, 2024",closeuplampiscataway,Image;Stillimage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll018,,,quakerheader.jpg,,,"Stony Brook Quaker Meeting House Burial Ground
Princeton, Mercer County, New Jersey, USA",,,"Stony Brook Quaker Meeting House Burial Ground
Princeton, Mercer County, New Jersey, USA",quaker; Stony Brook Quaker Meeting House; ,,,,l,quakerheader,Image;Stillimage,image/jpeg,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll019,,,poemjamesstelle.jpg,,,"Poem at the bottom of Gravestone of James L. Steele (1802), Piscatawaytown Burial Ground, Edison, Middlesex County, New Jersey, USA. ",Anonymous,1802-12-07,"Poem at the bottom of Gravestone of James L. Steele (1802), Piscatawaytown Burial Ground, Edison, Middlesex County, New Jersey, USA. ",Piscatawaytown Burial Ground; St. James Episcopal Anglican Church; Anglican; Episcopalian; red stone; sandstone; teen death; poem; ,"Edison, NJ",40.50073,-74.39615,"Laura Leibman, photographer, 2024",poemjamesstelle,Image;Stillimage,image/jpeg,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll020,,,jamesstelle.jpg,,,"Gravestone of James L. Steele (1802), Piscatawaytown Burial Ground, Edison, Middlesex County, New Jersey, USA. ",Anonymous,1802-12-07,"Gravestone of James L. Steele (1802), Piscatawaytown Burial Ground, Edison, Middlesex County, New Jersey, USA",Piscatawaytown Burial Ground; St. James Episcopal Anglican Church; Anglican; Episcopalian; red stone; sandstone; teen death; poem; monogram; sunrise symbol; initials; Stelle family; James Steele; Samuel Stelle; Hannah Stelle; male,"Edison, NJ",40.50073,-74.39615,"Laura Leibman, photographer, 2024",jamesstelle,Image;Stillimage,image/jpeg,eng,Public Domain,http://rightsstatements.org/vocab/NoC-US/1.0/
